resume_text,job_description,label
"Experienced professional with 2 years of experience. Skilled in kubernetes, monitoring, ci/cd, linux. Worked on multiple projects involving linux, jenkins. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in aws, monitoring, linux, networking. The candidate should have experience with jenkins, docker and a background in devops engineer.",1
"Experienced professional with 2 years of experience. Skilled in machine learning, numpy, scikit-learn, pandas. Worked on multiple projects involving pandas, numpy. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in sql, statistics, machine learning, pandas. The candidate should have experience with pandas, machine learning and a background in data scientist.",1
"Experienced professional with 10 years of experience. Skilled in terraform, docker, aws, networking. Worked on multiple projects involving ci/cd, kubernetes. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in ci/cd, monitoring, linux, docker. The candidate should have experience with networking, ci/cd and a background in devops engineer.",1
"Experienced professional with 9 years of experience. Skilled in react, responsive design, typescript, css. Worked on multiple projects involving ui/ux, webpack. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in sql, numpy, pandas, statistics. The candidate should have experience with pandas, scikit-learn and a background in data scientist.",0
"Experienced professional with 1 years of experience. Skilled in deep learning, numpy, machine learning, scikit-learn. Worked on multiple projects involving terraform, kubernetes. Strong background in data scientist.","We are looking for a DevOps Engineer with strong skills in ci/cd, terraform, kubernetes, jenkins. The candidate should have experience with terraform, aws and a background in devops engineer.",0
"Experienced professional with 1 years of experience. Skilled in google ads, content strategy, analytics, social media. Worked on multiple projects involving content strategy, branding. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in monitoring, jenkins, terraform, docker. The candidate should have experience with kubernetes, docker and a background in devops engineer.",0
"Experienced professional with 9 years of experience. Skilled in machine learning, python, numpy, sql. Worked on multiple projects involving machine learning, deep learning. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in scikit-learn, pandas, statistics, deep learning. The candidate should have experience with sql, data visualization and a background in data scientist.",1
"Experienced professional with 4 years of experience. Skilled in branding, social media, copywriting, email marketing. Worked on multiple projects involving google ads, branding. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in google ads, email marketing, social media, copywriting. The candidate should have experience with branding, copywriting and a background in digital marketer.",1
"Experienced professional with 7 years of experience. Skilled in monitoring, docker, networking, jenkins. Worked on multiple projects involving terraform, kubernetes. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in aws, docker, networking, jenkins. The candidate should have experience with networking, aws and a background in devops engineer.",1
"Experienced professional with 3 years of experience. Skilled in aws, networking, monitoring, linux. Worked on multiple projects involving linux, monitoring. Strong background in devops engineer.","We are looking for a Digital Marketer with strong skills in analytics, content strategy, email marketing, social media. The candidate should have experience with branding, social media and a background in digital marketer.",0
"Experienced professional with 10 years of experience. Skilled in content strategy, seo, branding, email marketing. Worked on multiple projects involving branding, analytics. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in content strategy, copywriting, social media, analytics. The candidate should have experience with content strategy, copywriting and a background in digital marketer.",1
"Experienced professional with 10 years of experience. Skilled in networking, terraform, docker, ci/cd. Worked on multiple projects involving networking, terraform. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in python, scikit-learn, deep learning, sql. The candidate should have experience with deep learning, numpy and a background in data scientist.",0
"Experienced professional with 4 years of experience. Skilled in seo, google ads, copywriting, email marketing. Worked on multiple projects involving linux, react. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in social media, content strategy, branding, email marketing. The candidate should have experience with branding, google ads and a background in digital marketer.",1
"Experienced professional with 6 years of experience. Skilled in redux, webpack, css, ui/ux. Worked on multiple projects involving ui/ux, html. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in sql, numpy, deep learning, statistics. The candidate should have experience with deep learning, numpy and a background in data scientist.",0
"Experienced professional with 3 years of experience. Skilled in python, scikit-learn, pandas, statistics. Worked on multiple projects involving python, sql. Strong background in data scientist.","We are looking for a Digital Marketer with strong skills in analytics, content strategy, social media, seo. The candidate should have experience with seo, analytics and a background in digital marketer.",0
"Experienced professional with 4 years of experience. Skilled in networking, monitoring, linux, jenkins. Worked on multiple projects involving networking, jenkins. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in ci/cd, networking, jenkins, aws. The candidate should have experience with ci/cd, docker and a background in devops engineer.",1
"Experienced professional with 5 years of experience. Skilled in numpy, statistics, sql, deep learning. Worked on multiple projects involving python, numpy. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in deep learning, python, statistics, sql. The candidate should have experience with data visualization, scikit-learn and a background in data scientist.",1
"Experienced professional with 3 years of experience. Skilled in seo, branding, google ads, analytics. Worked on multiple projects involving social media, branding. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in branding, seo, content strategy, google ads. The candidate should have experience with analytics, branding and a background in digital marketer.",1
"Experienced professional with 2 years of experience. Skilled in sql, data visualization, pandas, numpy. Worked on multiple projects involving python, statistics. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in react, html, javascript, css. The candidate should have experience with css, redux and a background in frontend developer.",0
"Experienced professional with 9 years of experience. Skilled in scikit-learn, machine learning, sql, python. Worked on multiple projects involving statistics, machine learning. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in css, responsive design, ui/ux, typescript. The candidate should have experience with javascript, typescript and a background in frontend developer.",0
"Experienced professional with 5 years of experience. Skilled in aws, monitoring, terraform, networking. Worked on multiple projects involving analytics, seo. Strong background in devops engineer.","We are looking for a Digital Marketer with strong skills in content strategy, google ads, social media, seo. The candidate should have experience with analytics, seo and a background in digital marketer.",0
"Experienced professional with 4 years of experience. Skilled in networking, aws, ci/cd, monitoring. Worked on multiple projects involving docker, terraform. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in aws, ci/cd, terraform, linux. The candidate should have experience with docker, terraform and a background in devops engineer.",1
"Experienced professional with 7 years of experience. Skilled in responsive design, javascript, css, ui/ux. Worked on multiple projects involving responsive design, css. Strong background in frontend developer.","We are looking for a Digital Marketer with strong skills in email marketing, branding, content strategy, google ads. The candidate should have experience with copywriting, analytics and a background in digital marketer.",0
"Experienced professional with 5 years of experience. Skilled in copywriting, content strategy, google ads, seo. Worked on multiple projects involving copywriting, email marketing. Strong background in digital marketer.","We are looking for a Data Scientist with strong skills in machine learning, statistics, pandas, numpy. The candidate should have experience with deep learning, data visualization and a background in data scientist.",0
"Experienced professional with 6 years of experience. Skilled in scikit-learn, deep learning, data visualization, python. Worked on multiple projects involving redux, css. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in webpack, typescript, css, redux. The candidate should have experience with html, ui/ux and a background in frontend developer.",0
"Experienced professional with 3 years of experience. Skilled in python, machine learning, scikit-learn, data visualization. Worked on multiple projects involving sql, machine learning. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in scikit-learn, data visualization, numpy, pandas. The candidate should have experience with scikit-learn, sql and a background in data scientist.",1
"Experienced professional with 5 years of experience. Skilled in ui/ux, redux, webpack, javascript. Worked on multiple projects involving html, react. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, react, responsive design, css. The candidate should have experience with css, webpack and a background in frontend developer.",1
"Experienced professional with 9 years of experience. Skilled in statistics, python, pandas, scikit-learn. Worked on multiple projects involving pandas, numpy. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in machine learning, deep learning, numpy, data visualization. The candidate should have experience with sql, python and a background in data scientist.",1
"Experienced professional with 9 years of experience. Skilled in html, ui/ux, redux, typescript. Worked on multiple projects involving css, javascript. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in kubernetes, aws, docker, monitoring. The candidate should have experience with kubernetes, ci/cd and a background in devops engineer.",0
"Experienced professional with 1 years of experience. Skilled in responsive design, redux, typescript, webpack. Worked on multiple projects involving typescript, html. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in javascript, webpack, responsive design, redux. The candidate should have experience with redux, responsive design and a background in frontend developer.",1
"Experienced professional with 1 years of experience. Skilled in html, ui/ux, webpack, redux. Worked on multiple projects involving html, responsive design. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in deep learning, python, statistics, pandas. The candidate should have experience with pandas, scikit-learn and a background in data scientist.",0
"Experienced professional with 9 years of experience. Skilled in aws, terraform, monitoring, networking. Worked on multiple projects involving networking, ci/cd. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in ci/cd, networking, kubernetes, linux. The candidate should have experience with linux, docker and a background in devops engineer.",1
"Experienced professional with 1 years of experience. Skilled in seo, google ads, copywriting, content strategy. Worked on multiple projects involving copywriting, email marketing. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in responsive design, css, html, javascript. The candidate should have experience with html, javascript and a background in frontend developer.",0
"Experienced professional with 6 years of experience. Skilled in responsive design, redux, css, ui/ux. Worked on multiple projects involving html, typescript. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in pandas, sql, python, numpy. The candidate should have experience with statistics, scikit-learn and a background in data scientist.",0
"Experienced professional with 5 years of experience. Skilled in content strategy, copywriting, branding, social media. Worked on multiple projects involving social media, branding. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in typescript, html, javascript, webpack. The candidate should have experience with responsive design, redux and a background in frontend developer.",0
"Experienced professional with 6 years of experience. Skilled in machine learning, sql, scikit-learn, statistics. Worked on multiple projects involving numpy, pandas. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in data visualization, python, statistics, scikit-learn. The candidate should have experience with sql, pandas and a background in data scientist.",1
"Experienced professional with 7 years of experience. Skilled in numpy, sql, deep learning, scikit-learn. Worked on multiple projects involving kubernetes, analytics. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in python, statistics, pandas, numpy. The candidate should have experience with scikit-learn, numpy and a background in data scientist.",1
"Experienced professional with 2 years of experience. Skilled in redux, javascript, html, responsive design. Worked on multiple projects involving webpack, typescript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in css, html, javascript, ui/ux. The candidate should have experience with javascript, css and a background in frontend developer.",1
"Experienced professional with 1 years of experience. Skilled in data visualization, machine learning, deep learning, scikit-learn. Worked on multiple projects involving data visualization, python. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in typescript, webpack, react, css. The candidate should have experience with ui/ux, react and a background in frontend developer.",0
"Experienced professional with 4 years of experience. Skilled in numpy, machine learning, pandas, statistics. Worked on multiple projects involving pandas, python. Strong background in data scientist.","We are looking for a Digital Marketer with strong skills in content strategy, branding, social media, google ads. The candidate should have experience with social media, email marketing and a background in digital marketer.",0
"Experienced professional with 7 years of experience. Skilled in jenkins, linux, docker, ci/cd. Worked on multiple projects involving kubernetes, docker. Strong background in devops engineer.","We are looking for a Digital Marketer with strong skills in google ads, content strategy, analytics, copywriting. The candidate should have experience with content strategy, analytics and a background in digital marketer.",0
"Experienced professional with 2 years of experience. Skilled in css, react, ui/ux, html. Worked on multiple projects involving ui/ux, css. Strong background in frontend developer.","We are looking for a Digital Marketer with strong skills in seo, email marketing, content strategy, google ads. The candidate should have experience with copywriting, social media and a background in digital marketer.",0
"Experienced professional with 4 years of experience. Skilled in deep learning, scikit-learn, numpy, pandas. Worked on multiple projects involving numpy, scikit-learn. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in data visualization, pandas, numpy, sql. The candidate should have experience with data visualization, statistics and a background in data scientist.",1
"Experienced professional with 7 years of experience. Skilled in html, javascript, redux, css. Worked on multiple projects involving typescript, webpack. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in css, html, typescript, react. The candidate should have experience with javascript, webpack and a background in frontend developer.",1
"Experienced professional with 4 years of experience. Skilled in sql, scikit-learn, pandas, numpy. Worked on multiple projects involving deep learning, pandas. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in machine learning, statistics, sql, pandas. The candidate should have experience with machine learning, sql and a background in data scientist.",1
"Experienced professional with 9 years of experience. Skilled in typescript, ui/ux, redux, webpack. Worked on multiple projects involving html, webpack. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in terraform, docker, ci/cd, aws. The candidate should have experience with ci/cd, networking and a background in devops engineer.",0
"Experienced professional with 7 years of experience. Skilled in react, typescript, webpack, responsive design. Worked on multiple projects involving webpack, typescript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, html, react, typescript. The candidate should have experience with react, ui/ux and a background in frontend developer.",1
"Experienced professional with 1 years of experience. Skilled in javascript, typescript, redux, webpack. Worked on multiple projects involving html, react. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in css, javascript, react, responsive design. The candidate should have experience with webpack, react and a background in frontend developer.",1
"Experienced professional with 1 years of experience. Skilled in statistics, numpy, deep learning, machine learning. Worked on multiple projects involving pandas, machine learning. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in python, deep learning, sql, statistics. The candidate should have experience with data visualization, sql and a background in data scientist.",1
"Experienced professional with 2 years of experience. Skilled in responsive design, typescript, redux, javascript. Worked on multiple projects involving redux, html. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in react, javascript, responsive design, ui/ux. The candidate should have experience with html, redux and a background in frontend developer.",1
"Experienced professional with 1 years of experience. Skilled in deep learning, sql, machine learning, numpy. Worked on multiple projects involving numpy, pandas. Strong background in data scientist.","We are looking for a Digital Marketer with strong skills in branding, email marketing, copywriting, content strategy. The candidate should have experience with copywriting, analytics and a background in digital marketer.",0
"Experienced professional with 2 years of experience. Skilled in branding, analytics, seo, social media. Worked on multiple projects involving seo, content strategy. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in branding, analytics, social media, content strategy. The candidate should have experience with analytics, google ads and a background in digital marketer.",1
"Experienced professional with 3 years of experience. Skilled in jenkins, docker, terraform, kubernetes. Worked on multiple projects involving aws, ci/cd. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in monitoring, ci/cd, linux, jenkins. The candidate should have experience with monitoring, terraform and a background in devops engineer.",1
"Experienced professional with 10 years of experience. Skilled in machine learning, scikit-learn, python, statistics. Worked on multiple projects involving pandas, python. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in statistics, pandas, deep learning, numpy. The candidate should have experience with machine learning, deep learning and a background in data scientist.",1
"Experienced professional with 5 years of experience. Skilled in aws, docker, networking, kubernetes. Worked on multiple projects involving aws, kubernetes. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in css, javascript, webpack, typescript. The candidate should have experience with ui/ux, css and a background in frontend developer.",0
"Experienced professional with 4 years of experience. Skilled in javascript, css, typescript, redux. Worked on multiple projects involving webpack, redux. Strong background in frontend developer.","We are looking for a Digital Marketer with strong skills in seo, google ads, analytics, branding. The candidate should have experience with content strategy, copywriting and a background in digital marketer.",0
"Experienced professional with 1 years of experience. Skilled in numpy, python, pandas, statistics. Worked on multiple projects involving scikit-learn, deep learning. Strong background in data scientist.","We are looking for a Digital Marketer with strong skills in email marketing, seo, social media, content strategy. The candidate should have experience with social media, branding and a background in digital marketer.",0
"Experienced professional with 7 years of experience. Skilled in jenkins, monitoring, ci/cd, kubernetes. Worked on multiple projects involving ci/cd, docker. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in react, responsive design, ui/ux, typescript. The candidate should have experience with responsive design, redux and a background in frontend developer.",0
"Experienced professional with 9 years of experience. Skilled in branding, social media, google ads, email marketing. Worked on multiple projects involving google ads, social media. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in react, typescript, css, ui/ux. The candidate should have experience with react, typescript and a background in frontend developer.",0
"Experienced professional with 4 years of experience. Skilled in copywriting, social media, email marketing, content strategy. Worked on multiple projects involving social media, email marketing. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in content strategy, social media, google ads, seo. The candidate should have experience with branding, copywriting and a background in digital marketer.",1
"Experienced professional with 5 years of experience. Skilled in react, css, ui/ux, html. Worked on multiple projects involving responsive design, redux. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in redux, javascript, html, webpack. The candidate should have experience with typescript, ui/ux and a background in frontend developer.",1
"Experienced professional with 4 years of experience. Skilled in monitoring, jenkins, linux, ci/cd. Worked on multiple projects involving kubernetes, docker. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in python, data visualization, machine learning, scikit-learn. The candidate should have experience with scikit-learn, data visualization and a background in data scientist.",0
"Experienced professional with 5 years of experience. Skilled in ci/cd, networking, aws, jenkins. Worked on multiple projects involving networking, jenkins. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in kubernetes, ci/cd, networking, aws. The candidate should have experience with ci/cd, kubernetes and a background in devops engineer.",1
"Experienced professional with 4 years of experience. Skilled in jenkins, kubernetes, docker, networking. Worked on multiple projects involving jenkins, docker. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in aws, ci/cd, networking, kubernetes. The candidate should have experience with ci/cd, aws and a background in devops engineer.",1
"Experienced professional with 9 years of experience. Skilled in copywriting, email marketing, content strategy, social media. Worked on multiple projects involving email marketing, social media. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in seo, social media, content strategy, branding. The candidate should have experience with copywriting, google ads and a background in digital marketer.",1
"Experienced professional with 3 years of experience. Skilled in webpack, typescript, redux, react. Worked on multiple projects involving responsive design, react. Strong background in frontend developer.","We are looking for a Digital Marketer with strong skills in seo, copywriting, branding, content strategy. The candidate should have experience with google ads, content strategy and a background in digital marketer.",0
"Experienced professional with 6 years of experience. Skilled in responsive design, typescript, javascript, redux. Worked on multiple projects involving redux, javascript. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in python, numpy, deep learning, pandas. The candidate should have experience with sql, scikit-learn and a background in data scientist.",0
"Experienced professional with 8 years of experience. Skilled in redux, typescript, webpack, javascript. Worked on multiple projects involving javascript, webpack. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in redux, responsive design, javascript, html. The candidate should have experience with css, ui/ux and a background in frontend developer.",1
"Experienced professional with 1 years of experience. Skilled in deep learning, numpy, statistics, machine learning. Worked on multiple projects involving pandas, machine learning. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in numpy, sql, scikit-learn, statistics. The candidate should have experience with numpy, scikit-learn and a background in data scientist.",1
"Experienced professional with 4 years of experience. Skilled in ui/ux, typescript, webpack, redux. Worked on multiple projects involving redux, css. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in redux, typescript, css, react. The candidate should have experience with html, webpack and a background in frontend developer.",1
"Experienced professional with 9 years of experience. Skilled in monitoring, kubernetes, terraform, docker. Worked on multiple projects involving networking, linux. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in python, sql, machine learning, data visualization. The candidate should have experience with sql, pandas and a background in data scientist.",0
"Experienced professional with 1 years of experience. Skilled in redux, html, react, responsive design. Worked on multiple projects involving css, typescript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in html, react, typescript, redux. The candidate should have experience with webpack, redux and a background in frontend developer.",1
"Experienced professional with 7 years of experience. Skilled in machine learning, statistics, python, deep learning. Worked on multiple projects involving sql, statistics. Strong background in data scientist.","We are looking for a DevOps Engineer with strong skills in kubernetes, linux, monitoring, terraform. The candidate should have experience with jenkins, aws and a background in devops engineer.",0
"Experienced professional with 3 years of experience. Skilled in social media, google ads, email marketing, content strategy. Worked on multiple projects involving google ads, email marketing. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in google ads, analytics, email marketing, seo. The candidate should have experience with content strategy, copywriting and a background in digital marketer.",1
"Experienced professional with 6 years of experience. Skilled in webpack, css, responsive design, react. Worked on multiple projects involving redux, typescript. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in machine learning, data visualization, statistics, scikit-learn. The candidate should have experience with statistics, machine learning and a background in data scientist.",0
"Experienced professional with 1 years of experience. Skilled in email marketing, branding, social media, seo. Worked on multiple projects involving seo, copywriting. Strong background in digital marketer.","We are looking for a Data Scientist with strong skills in sql, machine learning, deep learning, statistics. The candidate should have experience with pandas, deep learning and a background in data scientist.",0
"Experienced professional with 3 years of experience. Skilled in kubernetes, monitoring, aws, ci/cd. Worked on multiple projects involving linux, terraform. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in aws, kubernetes, linux, monitoring. The candidate should have experience with terraform, networking and a background in devops engineer.",1
"Experienced professional with 10 years of experience. Skilled in webpack, javascript, typescript, ui/ux. Worked on multiple projects involving pandas, copywriting. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in react, responsive design, redux, webpack. The candidate should have experience with javascript, react and a background in frontend developer.",1
"Experienced professional with 5 years of experience. Skilled in css, responsive design, webpack, html. Worked on multiple projects involving typescript, javascript. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in pandas, data visualization, deep learning, machine learning. The candidate should have experience with python, sql and a background in data scientist.",0
"Experienced professional with 2 years of experience. Skilled in kubernetes, terraform, docker, jenkins. Worked on multiple projects involving docker, kubernetes. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in kubernetes, docker, jenkins, linux. The candidate should have experience with networking, docker and a background in devops engineer.",1
"Experienced professional with 10 years of experience. Skilled in responsive design, html, redux, ui/ux. Worked on multiple projects involving javascript, typescript. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in deep learning, python, machine learning, numpy. The candidate should have experience with pandas, python and a background in data scientist.",0
"Experienced professional with 3 years of experience. Skilled in networking, ci/cd, monitoring, linux. Worked on multiple projects involving monitoring, terraform. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in docker, aws, ci/cd, jenkins. The candidate should have experience with monitoring, terraform and a background in devops engineer.",1
"Experienced professional with 4 years of experience. Skilled in ui/ux, redux, responsive design, html. Worked on multiple projects involving responsive design, typescript. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in kubernetes, aws, linux, terraform. The candidate should have experience with terraform, jenkins and a background in devops engineer.",0
"Experienced professional with 2 years of experience. Skilled in linux, monitoring, networking, terraform. Worked on multiple projects involving linux, aws. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in ui/ux, javascript, webpack, css. The candidate should have experience with ui/ux, html and a background in frontend developer.",0
"Experienced professional with 5 years of experience. Skilled in numpy, data visualization, statistics, scikit-learn. Worked on multiple projects involving python, machine learning. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in numpy, machine learning, data visualization, statistics. The candidate should have experience with scikit-learn, data visualization and a background in data scientist.",1
"Experienced professional with 2 years of experience. Skilled in javascript, ui/ux, webpack, react. Worked on multiple projects involving ci/cd, aws. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in responsive design, css, javascript, ui/ux. The candidate should have experience with react, html and a background in frontend developer.",1
"Experienced professional with 1 years of experience. Skilled in networking, kubernetes, ci/cd, jenkins. Worked on multiple projects involving kubernetes, aws. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in linux, aws, docker, kubernetes. The candidate should have experience with aws, ci/cd and a background in devops engineer.",1
"Experienced professional with 5 years of experience. Skilled in seo, social media, content strategy, branding. Worked on multiple projects involving content strategy, copywriting. Strong background in digital marketer.","We are looking for a Data Scientist with strong skills in statistics, scikit-learn, machine learning, sql. The candidate should have experience with pandas, numpy and a background in data scientist.",0
"Experienced professional with 2 years of experience. Skilled in ui/ux, responsive design, webpack, javascript. Worked on multiple projects involving ui/ux, webpack. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in react, ui/ux, css, typescript. The candidate should have experience with webpack, redux and a background in frontend developer.",1
"Experienced professional with 3 years of experience. Skilled in numpy, machine learning, pandas, deep learning. Worked on multiple projects involving sql, machine learning. Strong background in data scientist.","We are looking for a Digital Marketer with strong skills in email marketing, analytics, branding, social media. The candidate should have experience with analytics, branding and a background in digital marketer.",0
"Experienced professional with 5 years of experience. Skilled in google ads, content strategy, email marketing, copywriting. Worked on multiple projects involving google ads, content strategy. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in email marketing, seo, analytics, copywriting. The candidate should have experience with branding, google ads and a background in digital marketer.",1
"Experienced professional with 2 years of experience. Skilled in data visualization, statistics, machine learning, python. Worked on multiple projects involving data visualization, machine learning. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in data visualization, machine learning, scikit-learn, python. The candidate should have experience with sql, data visualization and a background in data scientist.",1
"Experienced professional with 7 years of experience. Skilled in email marketing, social media, seo, google ads. Worked on multiple projects involving networking, react. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in branding, google ads, seo, email marketing. The candidate should have experience with seo, google ads and a background in digital marketer.",1
"Experienced professional with 5 years of experience. Skilled in javascript, react, html, responsive design. Worked on multiple projects involving webpack, typescript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in responsive design, javascript, css, redux. The candidate should have experience with html, webpack and a background in frontend developer.",1
"Experienced professional with 8 years of experience. Skilled in content strategy, seo, google ads, analytics. Worked on multiple projects involving seo, google ads. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in monitoring, networking, linux, docker. The candidate should have experience with aws, linux and a background in devops engineer.",0
"Experienced professional with 8 years of experience. Skilled in terraform, aws, linux, ci/cd. Worked on multiple projects involving docker, monitoring. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in linux, terraform, kubernetes, networking. The candidate should have experience with kubernetes, docker and a background in devops engineer.",1
"Experienced professional with 7 years of experience. Skilled in deep learning, scikit-learn, machine learning, sql. Worked on multiple projects involving numpy, sql. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in machine learning, pandas, deep learning, statistics. The candidate should have experience with data visualization, pandas and a background in data scientist.",1
"Experienced professional with 3 years of experience. Skilled in react, webpack, css, responsive design. Worked on multiple projects involving deep learning, jenkins. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in ui/ux, javascript, typescript, responsive design. The candidate should have experience with react, javascript and a background in frontend developer.",1
"Experienced professional with 7 years of experience. Skilled in aws, networking, docker, jenkins. Worked on multiple projects involving aws, monitoring. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in ci/cd, jenkins, monitoring, aws. The candidate should have experience with jenkins, aws and a background in devops engineer.",1
"Experienced professional with 3 years of experience. Skilled in ci/cd, monitoring, kubernetes, terraform. Worked on multiple projects involving linux, kubernetes. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in aws, networking, linux, ci/cd. The candidate should have experience with linux, aws and a background in devops engineer.",1
"Experienced professional with 10 years of experience. Skilled in analytics, google ads, email marketing, seo. Worked on multiple projects involving copywriting, google ads. Strong background in digital marketer.","We are looking for a Data Scientist with strong skills in deep learning, numpy, data visualization, machine learning. The candidate should have experience with statistics, sql and a background in data scientist.",0
"Experienced professional with 10 years of experience. Skilled in docker, jenkins, kubernetes, ci/cd. Worked on multiple projects involving jenkins, linux. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in html, javascript, webpack, redux. The candidate should have experience with webpack, ui/ux and a background in frontend developer.",0
"Experienced professional with 6 years of experience. Skilled in google ads, analytics, social media, copywriting. Worked on multiple projects involving branding, content strategy. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in branding, analytics, content strategy, social media. The candidate should have experience with google ads, analytics and a background in digital marketer.",1
"Experienced professional with 10 years of experience. Skilled in networking, terraform, ci/cd, monitoring. Worked on multiple projects involving docker, networking. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in ci/cd, aws, networking, terraform. The candidate should have experience with docker, monitoring and a background in devops engineer.",1
"Experienced professional with 8 years of experience. Skilled in monitoring, linux, aws, terraform. Worked on multiple projects involving aws, kubernetes. Strong background in devops engineer.","We are looking for a Digital Marketer with strong skills in google ads, content strategy, copywriting, social media. The candidate should have experience with copywriting, google ads and a background in digital marketer.",0
"Experienced professional with 5 years of experience. Skilled in deep learning, statistics, numpy, data visualization. Worked on multiple projects involving statistics, data visualization. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in numpy, scikit-learn, statistics, machine learning. The candidate should have experience with sql, statistics and a background in data scientist.",1
